                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0827,                 1.9218,                 1.4325,                0.37261,                 0.3217,                0.30979,                 0.1451,                  1.991,                 2.3888,                 2.3699,              0.0033324,              0.0033324,              0.0033324
                      2,                0.85156,                0.80449,                 1.2185,                0.31564,                0.26687,                0.26123,                0.12132,                  2.184,                 2.0589,                 2.6453,              0.0065998,              0.0065998,              0.0065998
                      3,                0.82784,                0.64772,                 1.1959,                0.36162,                0.30947,                0.24364,                0.10939,                 2.3683,                 1.9361,                 3.1428,              0.0098011,              0.0098011,              0.0098011
                      4,                0.78519,                0.57039,                 1.1617,                0.39625,                0.42094,                0.32539,                0.15129,                 2.3159,                 1.8141,                 2.8852,               0.009703,               0.009703,               0.009703
                      5,                0.71943,                0.50077,                 1.1082,                0.31928,                0.39416,                0.25409,                0.11585,                 2.3291,                 2.0434,                 2.9833,               0.009604,               0.009604,               0.009604
                      6,                0.68249,                0.46468,                 1.0794,                0.39741,                0.38132,                0.33448,                0.15434,                 2.3601,                 1.8297,                 3.0255,               0.009505,               0.009505,               0.009505
                      7,                0.65518,                0.43927,                 1.0597,                0.35813,                0.37731,                0.28863,                0.12826,                 2.5112,                 1.9499,                  3.382,               0.009406,               0.009406,               0.009406
                      8,                0.63273,                0.42182,                 1.0447,                0.31122,                0.32024,                0.24906,                0.12305,                 2.4276,                 1.8452,                 3.1651,               0.009307,               0.009307,               0.009307
                      9,                0.61528,                0.40749,                 1.0332,                0.29294,                0.32923,                0.29412,                0.13796,                 2.4926,                 1.8467,                 3.1649,               0.009208,               0.009208,               0.009208
                     10,                0.60102,                0.39507,                  1.022,                 0.3828,                0.35285,                0.32113,                0.15335,                  2.355,                 1.7991,                 3.1927,               0.009109,               0.009109,               0.009109
                     11,                0.59028,                0.38673,                 1.0167,                0.33704,                0.36509,                0.29538,                0.13679,                 2.4107,                 2.0065,                 3.2442,                0.00901,                0.00901,                0.00901
                     12,                 0.5802,                0.37967,                 1.0095,                0.30893,                0.35289,                0.27983,                0.13266,                 2.4089,                 2.0311,                  3.134,               0.008911,               0.008911,               0.008911
                     13,                  0.571,                0.37186,                  1.004,                0.32256,                0.35043,                0.29472,                0.14022,                 2.4206,                 1.9957,                 3.2139,               0.008812,               0.008812,               0.008812
                     14,                0.56458,                0.36679,                0.99931,                0.32871,                0.34675,                0.30216,                0.14164,                 2.4827,                 1.9837,                 3.2651,               0.008713,               0.008713,               0.008713
                     15,                 0.5578,                0.36145,                0.99495,                0.33227,                0.34218,                0.30387,                0.13886,                 2.4692,                 2.0058,                 3.2395,               0.008614,               0.008614,               0.008614
                     16,                0.55353,                0.35855,                0.99222,                0.33316,                0.33881,                0.30802,                0.14473,                  2.455,                 1.9628,                 3.2218,               0.008515,               0.008515,               0.008515
